Algoritmo;TamMatriz;Hilos;Repeticion;Tiempo_microsegundos;;;;;;;;;Algoritmo;TamMatriz;Hilos;Tiempo_microsegundos;;;;Algoritmo;TamMatriz;Hilos;Tiempo_microsegundos;;;;Algoritmo;TamMatriz;Hilos;Tiempo_microsegundos
mmClasicaFork;5;4;8;1037;;;;;;;;;;;;;;;;;;;;;;;;;;
mmClasicaFork;5;4;9;841;;;;;;;;;;;;;;;;;;;;;;;;;;
mmClasicaFork;5;4;10;845;;;;;;;;;;;;;;;;;;;;;;;;;;
mmClasicaFork;5;4;11;1648;;;;;;;;;;;;;;;;;;;;;;;;;;
mmClasicaFork;5;4;12;2295;;;;;;;;;;;;;;;;;;;;;;;;;;
mmClasicaFork;5;4;13;535;;;;;;;;;;;;;;;;;;;;;;;;;;
mmClasicaFork;5;4;14;1156;;;;;;;;;;;;;;;;;;;;;;;;;;
mmClasicaFork;5;4;15;524;;;;;;;;;;;;;;;;;;;;;;;;;;
mmClasicaFork;5;4;16;1056;;;;;;;;;;;;;;;;;;;;;;;;;;
mmClasicaFork;5;4;17;520;;;;;;;;;;;;;;;;;;;;;;;;;;
mmClasicaFork;5;4;18;589;;;;;;;;;;;;;;;;;;;;;;;;;;
mmClasicaFork;5;4;19;505;;;;;;;;;;;;;;;;;;;;;;;;;;
mmClasicaFork;5;4;20;483;;;;;;;;;;;;;;;;;;;;;;;;;;
mmClasicaFork;5;4;21;512;;;;;;;;;;;;;;;;;;;;;;;;;;
mmClasicaFork;5;4;22;517;;;;;;;;;;;;;;;;;;;;;;;;;;
mmClasicaFork;5;4;23;512;;;;;;;;;;;;;;;;;;;;;;;;;;
mmClasicaFork;5;4;24;594;;;;;;;;;;;;;;;;;;;;;;;;;;
mmClasicaFork;5;4;25;531;;;;;;;;;;;;;;;;;;;;;;;;;;
mmClasicaFork;5;4;26;502;;;;;;;;;;;;;;;;;;;;;;;;;;
mmClasicaFork;5;4;27;522;;;;;;;;;;;;;;;;;;;;;;;;;;
mmClasicaFork;5;4;28;590;;;;;;;;;;;;;;;;;;;;;;;;;;
mmClasicaFork;5;4;29;556;;;;;;;;;;;;;;;;;;;;;;;;;;
mmClasicaFork;5;4;30;595;;;;;;;;;;;;;;;;;;;;;;;;;;
mmClasicaFork;5;8;1;1190;;;;;;;;;;;;;;;;;;;;;;;;;;
mmClasicaFork;5;8;2;1002;;;;;;;;;;;;;;;;;;;;;;;;;;
mmClasicaFork;5;8;3;1176;;;;;;;;;;;;;;;;;;;;;;;;;;
mmClasicaFork;5;8;4;1843;;;;;;;;;;;;;;;;;;;;;;;;;;
mmClasicaFork;5;8;5;1718;;;;;;;;;;;;;;;;;;;;;;;;;;
mmClasicaFork;5;8;6;2115;;;;;;;;;;;;;;;;;;;;;;;;;;
mmClasicaFork;5;8;7;1218;;;;;;;;;;;;;;;;;;;;;;;;;;
mmClasicaFork;5;8;8;1226;;;;;;;;;;;;;;;;;;;;;;;;;;
mmClasicaFork;5;8;9;1887;;;;;;;;;;;;;;;;;;;;;;;;;;
mmClasicaFork;5;8;10;1330;;;;;;;;;;;;;;;;;;;;;;;;;;
mmClasicaFork;5;8;11;1103;;;;;;;;;;;;;;;;;;;;;;;;;;
mmClasicaFork;5;8;12;1170;;;;;;;;;;;;;;;;;;;;;;;;;;
mmClasicaFork;5;8;13;953;;;;;;;;;;;;;;;;;;;;;;;;;;
mmClasicaFork;5;8;14;1478;;;;;;;;;;;;;;;;;;;;;;;;;;
mmClasicaFork;5;8;15;912;;;;;;;;;;;;;;;;;;;;;;;;;;
mmClasicaFork;5;8;16;889;;;;;;;;;;;;;;;;;;;;;;;;;;
mmClasicaFork;5;8;17;974;;;;;;;;;;;;;;;;;;;;;;;;;;
mmClasicaFork;5;8;18;1091;;;;;;;;;;;;;;;;;;;;;;;;;;
mmClasicaFork;5;8;19;1002;;;;;;;;;;;;;;;;;;;;;;;;;;
mmClasicaFork;5;8;20;1118;;;;;;;;;;;;;;;;;;;;;;;;;;
mmClasicaFork;5;8;21;1180;;;;;;;;;;;;;;;;;;;;;;;;;;
mmClasicaFork;5;8;22;802;;;;;;;;;;;;;;;;;;;;;;;;;;
mmClasicaFork;5;8;23;1085;;;;;;;;;;;;;;;;;;;;;;;;;;
mmClasicaFork;5;8;24;815;;;;;;;;;;;;;;;;;;;;;;;;;;
mmClasicaFork;5;8;25;865;;;;;;;;;;;;;;;;;;;;;;;;;;
mmClasicaFork;5;8;26;963;;;;;;;;;;;;;;;;;;;;;;;;;;
mmClasicaFork;5;8;27;1444;;;;;;;;;;;;;;;;;;;;;;;;;;
mmClasicaFork;5;8;28;979;;;;;;;;;;;;;;;;;;;;;;;;;;
mmClasicaFork;5;8;29;2154;;;;;;;;;;;;;;;;;;;;;;;;;;
mmClasicaFork;5;8;30;1462;;;;;;;;;;;;;;;;;;;;;;;;;;
