Algoritmo;TamMatriz;Hilos;Repeticion;Tiempo_microsegundos;;;;;;;;;Algoritmo;TamMatriz;Hilos;Tiempo_microsegundos;;;;Algoritmo;TamMatriz;Hilos;Tiempo_microsegundos;;;;Algoritmo;TamMatriz;Hilos;Tiempo_microsegundos
mmClasicaFork;2;4;9;1161;;;;;;;;;;;;;;;;;;;;;;;;;;
mmClasicaFork;2;4;10;711;;;;;;;;;;;;;;;;;;;;;;;;;;
mmClasicaFork;2;4;11;802;;;;;;;;;;;;;;;;;;;;;;;;;;
mmClasicaFork;2;4;12;515;;;;;;;;;;;;;;;;;;;;;;;;;;
mmClasicaFork;2;4;13;1588;;;;;;;;;;;;;;;;;;;;;;;;;;
mmClasicaFork;2;4;14;763;;;;;;;;;;;;;;;;;;;;;;;;;;
mmClasicaFork;2;4;15;800;;;;;;;;;;;;;;;;;;;;;;;;;;
mmClasicaFork;2;4;16;566;;;;;;;;;;;;;;;;;;;;;;;;;;
mmClasicaFork;2;4;17;655;;;;;;;;;;;;;;;;;;;;;;;;;;
mmClasicaFork;2;4;18;590;;;;;;;;;;;;;;;;;;;;;;;;;;
mmClasicaFork;2;4;19;973;;;;;;;;;;;;;;;;;;;;;;;;;;
mmClasicaFork;2;4;20;1063;;;;;;;;;;;;;;;;;;;;;;;;;;
mmClasicaFork;2;4;21;959;;;;;;;;;;;;;;;;;;;;;;;;;;
mmClasicaFork;2;4;22;3595;;;;;;;;;;;;;;;;;;;;;;;;;;
mmClasicaFork;2;4;23;975;;;;;;;;;;;;;;;;;;;;;;;;;;
mmClasicaFork;2;4;24;636;;;;;;;;;;;;;;;;;;;;;;;;;;
mmClasicaFork;2;4;25;617;;;;;;;;;;;;;;;;;;;;;;;;;;
mmClasicaFork;2;4;26;598;;;;;;;;;;;;;;;;;;;;;;;;;;
mmClasicaFork;2;4;27;572;;;;;;;;;;;;;;;;;;;;;;;;;;
mmClasicaFork;2;4;28;533;;;;;;;;;;;;;;;;;;;;;;;;;;
mmClasicaFork;2;4;29;565;;;;;;;;;;;;;;;;;;;;;;;;;;
mmClasicaFork;2;4;30;468;;;;;;;;;;;;;;;;;;;;;;;;;;
mmClasicaFork;2;8;1;952;;;;;;;;;;;;;;;;;;;;;;;;;;
mmClasicaFork;2;8;2;1369;;;;;;;;;;;;;;;;;;;;;;;;;;
mmClasicaFork;2;8;3;1143;;;;;;;;;;;;;;;;;;;;;;;;;;
mmClasicaFork;2;8;4;1769;;;;;;;;;;;;;;;;;;;;;;;;;;
mmClasicaFork;2;8;5;1688;;;;;;;;;;;;;;;;;;;;;;;;;;
mmClasicaFork;2;8;6;1407;;;;;;;;;;;;;;;;;;;;;;;;;;
