Algoritmo;TamMatriz;Hilos;Repeticion;Tiempo_microsegundos;;;Algoritmo;TamMatriz;Hilos;Tiempo_microsegundos;;;Algoritmo;TamMatriz;Hilos;Tiempo_microsegundos;
mmClasicaOpenMP;2;4;30;4451;;;;;;;;;;;;;
mmClasicaOpenMP;2;8;1;285;;;;;;;;;;;;;
mmClasicaOpenMP;2;8;2;271;;;;;;;;;;;;;
mmClasicaOpenMP;2;8;3;270;;;;;;;;;;;;;
mmClasicaOpenMP;2;8;4;239;;;;;;;;;;;;;
mmClasicaOpenMP;2;8;5;255;;;;;;;;;;;;;
mmClasicaOpenMP;2;8;6;251;;;;;;;;;;;;;
mmClasicaOpenMP;2;8;7;265;;;;;;;;;;;;;
mmClasicaOpenMP;2;8;8;243;;;;;;;;;;;;;
mmClasicaOpenMP;2;8;9;585;;;;;;;;;;;;;
mmClasicaOpenMP;2;8;10;258;;;;;;;;;;;;;
mmClasicaOpenMP;2;8;11;256;;;;;;;;;;;;;
mmClasicaOpenMP;2;8;12;239;;;;;;;;;;;;;
mmClasicaOpenMP;2;8;13;322;;;;;;;;;;;;;
mmClasicaOpenMP;2;8;14;262;;;;;;;;;;;;;
mmClasicaOpenMP;2;8;15;295;;;;;;;;;;;;;
mmClasicaOpenMP;2;8;16;265;;;;;;;;;;;;;
mmClasicaOpenMP;2;8;17;234;;;;;;;;;;;;;
mmClasicaOpenMP;2;8;18;270;;;;;;;;;;;;;
mmClasicaOpenMP;2;8;19;261;;;;;;;;;;;;;
mmClasicaOpenMP;2;8;20;267;;;;;;;;;;;;;
mmClasicaOpenMP;2;8;21;250;;;;;;;;;;;;;
mmClasicaOpenMP;2;8;22;225;;;;;;;;;;;;;
mmClasicaOpenMP;2;8;23;230;;;;;;;;;;;;;
mmClasicaOpenMP;2;8;24;222;;;;;;;;;;;;;
mmClasicaOpenMP;2;8;25;255;;;;;;;;;;;;;
mmClasicaOpenMP;2;8;26;261;;;;;;;;;;;;;
mmClasicaOpenMP;2;8;27;261;;;;;;;;;;;;;
mmClasicaOpenMP;2;8;28;270;;;;;;;;;;;;;
mmClasicaOpenMP;2;8;29;299;;;;;;;;;;;;;
mmClasicaOpenMP;2;8;30;302;;;;;;;;;;;;;
mmClasicaOpenMP;3;1;1;3;;;;;;;;;;;;;
mmClasicaOpenMP;3;1;2;2;;;;;;;;;;;;;
mmClasicaOpenMP;3;1;3;2;;;;;;;;;;;;;
mmClasicaOpenMP;3;1;4;4;;;;;;;;;;;;;
mmClasicaOpenMP;3;1;5;2;;;;;;;;;;;;;
mmClasicaOpenMP;3;1;6;2;;;;;;;;;;;;;
mmClasicaOpenMP;3;1;7;2;;;;;;;;;;;;;
mmClasicaOpenMP;3;1;8;3;;;;;;;;;;;;;
mmClasicaOpenMP;3;1;9;3;;;;;;;;;;;;;
mmClasicaOpenMP;3;1;10;3;;;;;;;;;;;;;
mmClasicaOpenMP;3;1;11;3;;;;;;;;;;;;;
mmClasicaOpenMP;3;1;12;2;;;;;;;;;;;;;
mmClasicaOpenMP;3;1;13;3;;;;;;;;;;;;;
mmClasicaOpenMP;3;1;14;2;;;;;;;;;;;;;
mmClasicaOpenMP;3;1;15;3;;;;;;;;;;;;;
mmClasicaOpenMP;3;1;16;2;;;;;;;;;;;;;
mmClasicaOpenMP;3;1;17;5;;;;;;;;;;;;;
mmClasicaOpenMP;3;1;18;5;;;;;;;;;;;;;
mmClasicaOpenMP;3;1;19;4;;;;;;;;;;;;;
mmClasicaOpenMP;3;1;20;6;;;;;;;;;;;;;
mmClasicaOpenMP;3;1;21;2;;;;;;;;;;;;;
mmClasicaOpenMP;3;1;22;3;;;;;;;;;;;;;
mmClasicaOpenMP;3;1;23;2;;;;;;;;;;;;;
mmClasicaOpenMP;3;1;24;5;;;;;;;;;;;;;
mmClasicaOpenMP;3;1;25;4;;;;;;;;;;;;;
mmClasicaOpenMP;3;1;26;3;;;;;;;;;;;;;
mmClasicaOpenMP;3;1;27;2;;;;;;;;;;;;;
mmClasicaOpenMP;3;1;28;2;;;;;;;;;;;;;
mmClasicaOpenMP;3;1;29;4;;;;;;;;;;;;;
mmClasicaOpenMP;3;1;30;3;;;;;;;;;;;;;
mmClasicaOpenMP;3;2;1;55;;;;;;;;;;;;;
mmClasicaOpenMP;3;2;2;54;;;;;;;;;;;;;
mmClasicaOpenMP;3;2;3;59;;;;;;;;;;;;;
mmClasicaOpenMP;3;2;4;52;;;;;;;;;;;;;
mmClasicaOpenMP;3;2;5;55;;;;;;;;;;;;;
mmClasicaOpenMP;3;2;6;49;;;;;;;;;;;;;
mmClasicaOpenMP;3;2;7;2227;;;;;;;;;;;;;
mmClasicaOpenMP;3;2;8;54;;;;;;;;;;;;;
mmClasicaOpenMP;3;2;9;64;;;;;;;;;;;;;
mmClasicaOpenMP;3;2;10;62;;;;;;;;;;;;;
mmClasicaOpenMP;3;2;11;86;;;;;;;;;;;;;
mmClasicaOpenMP;3;2;12;64;;;;;;;;;;;;;
mmClasicaOpenMP;3;2;13;52;;;;;;;;;;;;;
mmClasicaOpenMP;3;2;14;51;;;;;;;;;;;;;
mmClasicaOpenMP;3;2;15;483;;;;;;;;;;;;;
mmClasicaOpenMP;3;2;16;65;;;;;;;;;;;;;
mmClasicaOpenMP;3;2;17;91;;;;;;;;;;;;;
mmClasicaOpenMP;3;2;18;65;;;;;;;;;;;;;
mmClasicaOpenMP;3;2;19;70;;;;;;;;;;;;;
mmClasicaOpenMP;3;2;20;79;;;;;;;;;;;;;
mmClasicaOpenMP;3;2;21;56;;;;;;;;;;;;;
mmClasicaOpenMP;3;2;22;60;;;;;;;;;;;;;
mmClasicaOpenMP;3;2;23;52;;;;;;;;;;;;;
mmClasicaOpenMP;3;2;24;59;;;;;;;;;;;;;
mmClasicaOpenMP;3;2;25;81;;;;;;;;;;;;;
mmClasicaOpenMP;3;2;26;122;;;;;;;;;;;;;
mmClasicaOpenMP;3;2;27;71;;;;;;;;;;;;;
mmClasicaOpenMP;3;2;28;85;;;;;;;;;;;;;
